title,sub-title,ref,new_price,reserved_status,geo
Graff,BUTTERFLY MINI DIAMOND DROP EARRINGS,RGE1167,9750,,Москва
Graff,Wild Flower Large Diamond Stud Earrings,RGE1719,13500,,Москва
Graff,THREANDS STUD EARRINGS,RGE1504,15750,,Москва
Graff,THREADS DIAMOND MINI EARRINGS,RGE1672,7150,,Москва
Graff,BUTTERFLY SILHOUETTE DIAMOND DROP EARRINGS,RGE1617,9800,,Москва
Graff,Wild Flower Diamond Stud Earrings,RGE1669,8320,,Москва
Graff,WILD FLOWER PAVE DIAMOND STUD EARRINGS,RGE1666,7480,,Москва
Van Cleef & Arpels,"VINTAGE ALHAMBRA BRACELET, 5 MOTIFS. DIAMONDS, ONYX.",VCARP2R900,17500,,Москва
Bvlgari,SERPENTI RING (SIZE M),358664-M,Цена по запросу,,Москва
Bvlgari,SERPENTI VIPER RING (SIZE M),345223,25100,,Москва
Graff,Kiss Pavé Diamond Stud Earrings,RGE1518,4550,,Москва
Magerit,MAGERIT PUMA EARRINGS,AR1399.1,6100,Зарезервировано,
Chopard,SO HAPPY PENDANT. PINK CRYSTAL HEART,79/6233/05,3080,,Москва
No name,ROUND DIAMOND 2.02 F/VS2 CT RING (GIA),2.02 CT ROUND DIAMOND RING,21500,,Москва
Graff,ROUND DIAMOND CROSS MEDIUM PENDANT,RGP006,8900,Зарезервировано,
Cartier,YELLOW GOLD PANTHERE DE CARTIER RING (SIZE 53),CRH4393153,16000,,Москва
Cartier,"JUSTE UN CLOU BRACELET, WHITE GOLD, DIAMONDS (SIZE 16)",B6048716,14500,,Москва
Cartier,"LOVE EARRINGS, 2 DIAMONDS, PINK GOLD",B8301218,6400,Зарезервировано,
Cartier,LOVE EARRINGS,B8301433,5350,,Москва
Cartier,LOVE EARRINGS,B8028300,5400,,Москва
Van Cleef & Arpels,Vintage Alhambra pendant,VCARA45300,9800,,Москва
Graff,Tilda's Bow Mini Diamond Ring (SIZE 49),RGR833,4750,,Москва
No name,DIAMOND EARRINGS 10.65 CT,NND 10.65 CT,25400,,Москва
